GRanD ID= 610
Dam/Reservoir Name= Lake_Mead/Hoover
Approximated Geometry= Rectangular Prism
Mean Length (km)= 126.40
Mean Width (km)= 6.60
Mean Depth (m)= 63.20
Dam Height (m)= 211.85
Depth(m)	,	Area(skm)	,	Storage(mcm)	
0.00,0.00,0.00
0.10,0.52,0.01
0.20,1.04,0.04
0.30,1.56,0.10
0.40,2.08,0.17
0.50,2.60,0.27
0.60,3.12,0.38
0.70,3.63,0.52
0.80,4.15,0.68
0.90,4.67,0.86
1.00,5.19,1.06
1.10,5.70,1.29
1.20,6.22,1.53
1.30,6.74,1.80
1.40,7.25,2.08
1.50,7.77,2.39
1.60,8.29,2.72
1.70,8.80,3.07
1.80,9.32,3.44
1.90,9.83,3.84
2.00,10.35,4.25
2.10,10.86,4.68
2.20,11.38,5.14
2.30,11.89,5.62
2.40,12.41,6.12
2.50,12.92,6.64
2.60,13.44,7.18
2.70,13.95,7.74
2.80,14.46,8.32
2.90,14.97,8.92
3.00,15.49,9.55
3.10,16.00,10.19
3.20,16.51,10.86
3.30,17.02,11.55
3.40,17.54,12.26
3.50,18.05,12.98
3.60,18.56,13.74
3.70,19.07,14.51
3.80,19.58,15.30
3.90,20.09,16.11
4.00,20.60,16.95
4.10,21.11,17.80
4.20,21.62,18.68
4.30,22.13,19.57
4.40,22.64,20.49
4.50,23.15,21.43
4.60,23.66,22.39
4.70,24.17,23.37
4.80,24.67,24.37
4.90,25.18,25.39
5.00,25.69,26.44
5.10,26.20,27.50
5.20,26.70,28.58
5.30,27.21,29.69
5.40,27.72,30.82
5.50,28.22,31.96
5.60,28.73,33.13
5.70,29.24,34.32
5.80,29.74,35.53
5.90,30.25,36.76
6.00,30.75,38.01
6.10,31.26,39.28
6.20,31.76,40.57
6.30,32.27,41.88
6.40,32.77,43.22
6.50,33.28,44.57
6.60,33.78,45.95
6.70,34.28,47.34
6.80,34.79,48.76
6.90,35.29,50.19
7.00,35.79,51.65
7.10,36.30,53.13
7.20,36.80,54.63
7.30,37.30,56.15
7.40,37.80,57.69
7.50,38.30,59.25
7.60,38.81,60.83
7.70,39.31,62.43
7.80,39.81,64.05
7.90,40.31,65.69
8.00,40.81,67.35
8.10,41.31,69.04
8.20,41.81,70.74
8.30,42.31,72.47
8.40,42.81,74.21
8.50,43.31,75.98
8.60,43.81,77.76
8.70,44.30,79.57
8.80,44.80,81.40
8.90,45.30,83.24
9.00,45.80,85.11
9.10,46.30,87.00
9.20,46.79,88.91
9.30,47.29,90.84
9.40,47.79,92.78
9.50,48.28,94.75
9.60,48.78,96.74
9.70,49.28,98.75
9.80,49.77,100.78
9.90,50.27,102.84
10.00,50.76,104.91
10.10,51.26,107.00
10.20,51.76,109.11
10.30,52.25,111.24
10.40,52.74,113.39
10.50,53.24,115.57
10.60,53.73,117.76
10.70,54.23,119.97
10.80,54.72,122.21
10.90,55.21,124.46
11.00,55.71,126.73
11.10,56.20,129.03
11.20,56.69,131.34
11.30,57.18,133.68
11.40,57.68,136.03
11.50,58.17,138.41
11.60,58.66,140.80
11.70,59.15,143.22
11.80,59.64,145.65
11.90,60.13,148.11
12.00,60.62,150.58
12.10,61.11,153.08
12.20,61.60,155.59
12.30,62.09,158.13
12.40,62.58,160.69
12.50,63.07,163.26
12.60,63.56,165.86
12.70,64.05,168.47
12.80,64.54,171.11
12.90,65.03,173.77
13.00,65.52,176.44
13.10,66.00,179.14
13.20,66.49,181.85
13.30,66.98,184.59
13.40,67.47,187.35
13.50,67.95,190.12
13.60,68.44,192.92
13.70,68.93,195.73
13.80,69.41,198.57
13.90,69.90,201.43
14.00,70.38,204.30
14.10,70.87,207.20
14.20,71.35,210.11
14.30,71.84,213.05
14.40,72.32,216.00
14.50,72.81,218.98
14.60,73.29,221.97
14.70,73.78,224.99
14.80,74.26,228.02
14.90,74.74,231.08
15.00,75.23,234.15
15.10,75.71,237.25
15.20,76.19,240.36
15.30,76.68,243.49
15.40,77.16,246.65
15.50,77.64,249.82
15.60,78.12,253.01
15.70,78.60,256.23
15.80,79.08,259.46
15.90,79.56,262.71
16.00,80.05,265.98
16.10,80.53,269.28
16.20,81.01,272.59
16.30,81.49,275.92
16.40,81.97,279.27
16.50,82.45,282.64
16.60,82.93,286.03
16.70,83.40,289.44
16.80,83.88,292.87
16.90,84.36,296.32
17.00,84.84,299.79
17.10,85.32,303.28
17.20,85.80,306.78
17.30,86.27,310.31
17.40,86.75,313.86
17.50,87.23,317.42
17.60,87.70,321.01
17.70,88.18,324.62
17.80,88.66,328.24
17.90,89.13,331.89
18.00,89.61,335.55
18.10,90.08,339.23
18.20,90.56,342.94
18.30,91.04,346.66
18.40,91.51,350.40
18.50,91.98,354.16
18.60,92.46,357.94
18.70,92.93,361.75
18.80,93.41,365.57
18.90,93.88,369.40
19.00,94.35,373.26
19.10,94.83,377.14
19.20,95.30,381.04
19.30,95.77,384.96
19.40,96.25,388.89
19.50,96.72,392.85
19.60,97.19,396.82
19.70,97.66,400.82
19.80,98.13,404.83
19.90,98.60,408.86
20.00,99.08,412.92
20.10,99.55,416.99
20.20,100.02,421.08
20.30,100.49,425.19
20.40,100.96,429.32
20.50,101.43,433.47
20.60,101.90,437.64
20.70,102.36,441.82
20.80,102.83,446.03
20.90,103.30,450.26
21.00,103.77,454.50
21.10,104.24,458.77
21.20,104.71,463.05
21.30,105.18,467.35
21.40,105.64,471.67
21.50,106.11,476.01
21.60,106.58,480.37
21.70,107.04,484.75
21.80,107.51,489.15
21.90,107.98,493.57
22.00,108.44,498.01
22.10,108.91,502.46
22.20,109.37,506.94
22.30,109.84,511.43
22.40,110.30,515.94
22.50,110.77,520.48
22.60,111.23,525.03
22.70,111.70,529.60
22.80,112.16,534.19
22.90,112.63,538.79
23.00,113.09,543.42
23.10,113.55,548.07
23.20,114.02,552.73
23.30,114.48,557.42
23.40,114.94,562.12
23.50,115.40,566.84
23.60,115.87,571.58
23.70,116.33,576.34
23.80,116.79,581.12
23.90,117.25,585.92
24.00,117.71,590.74
24.10,118.17,595.57
24.20,118.63,600.43
24.30,119.09,605.30
24.40,119.55,610.19
24.50,120.01,615.10
24.60,120.47,620.03
24.70,120.93,624.98
24.80,121.39,629.95
24.90,121.85,634.94
25.00,122.31,639.94
25.10,122.77,644.97
25.20,123.23,650.01
25.30,123.68,655.07
25.40,124.14,660.15
25.50,124.60,665.25
25.60,125.06,670.37
25.70,125.51,675.50
25.80,125.97,680.66
25.90,126.43,685.83
26.00,126.88,691.03
26.10,127.34,696.24
26.20,127.79,701.47
26.30,128.25,706.72
26.40,128.71,711.98
26.50,129.16,717.27
26.60,129.61,722.58
26.70,130.07,727.90
26.80,130.52,733.24
26.90,130.98,738.60
27.00,131.43,743.98
27.10,131.89,749.38
27.20,132.34,754.80
27.30,132.79,760.23
27.40,133.24,765.69
27.50,133.70,771.16
27.60,134.15,776.65
27.70,134.60,782.16
27.80,135.05,787.69
27.90,135.50,793.23
28.00,135.96,798.80
28.10,136.41,804.38
28.20,136.86,809.98
28.30,137.31,815.60
28.40,137.76,821.24
28.50,138.21,826.90
28.60,138.66,832.57
28.70,139.11,838.27
28.80,139.56,843.98
28.90,140.01,849.71
29.00,140.46,855.46
29.10,140.90,861.23
29.20,141.35,867.02
29.30,141.80,872.82
29.40,142.25,878.64
29.50,142.70,884.49
29.60,143.14,890.34
29.70,143.59,896.22
29.80,144.04,902.12
29.90,144.48,908.03
30.00,144.93,913.97
30.10,145.38,919.92
30.20,145.82,925.89
30.30,146.27,931.88
30.40,146.71,937.88
30.50,147.16,943.91
30.60,147.60,949.95
30.70,148.05,956.01
30.80,148.49,962.09
30.90,148.94,968.19
31.00,149.38,974.30
31.10,149.82,980.44
31.20,150.27,986.59
31.30,150.71,992.76
31.40,151.15,998.95
31.50,151.60,1005.15
31.60,152.04,1011.38
31.70,152.48,1017.62
31.80,152.92,1023.88
31.90,153.37,1030.16
32.00,153.81,1036.46
32.10,154.25,1042.77
32.20,154.69,1049.10
32.30,155.13,1055.46
32.40,155.57,1061.82
32.50,156.01,1068.21
32.60,156.45,1074.62
32.70,156.89,1081.04
32.80,157.33,1087.48
32.90,157.77,1093.94
33.00,158.21,1100.42
33.10,158.65,1106.92
33.20,159.09,1113.43
33.30,159.52,1119.96
33.40,159.96,1126.51
33.50,160.40,1133.08
33.60,160.84,1139.66
33.70,161.27,1146.27
33.80,161.71,1152.89
33.90,162.15,1159.53
34.00,162.59,1166.18
34.10,163.02,1172.86
34.20,163.46,1179.55
34.30,163.89,1186.26
34.40,164.33,1192.99
34.50,164.76,1199.74
34.60,165.20,1206.50
34.70,165.63,1213.28
34.80,166.07,1220.08
34.90,166.50,1226.90
35.00,166.94,1233.74
35.10,167.37,1240.59
35.20,167.81,1247.46
35.30,168.24,1254.35
35.40,168.67,1261.26
35.50,169.10,1268.18
35.60,169.54,1275.12
35.70,169.97,1282.08
35.80,170.40,1289.06
35.90,170.83,1296.06
36.00,171.27,1303.07
36.10,171.70,1310.10
36.20,172.13,1317.15
36.30,172.56,1324.21
36.40,172.99,1331.30
36.50,173.42,1338.40
36.60,173.85,1345.52
36.70,174.28,1352.65
36.80,174.71,1359.81
36.90,175.14,1366.98
37.00,175.57,1374.17
37.10,176.00,1381.38
37.20,176.43,1388.60
37.30,176.85,1395.84
